username,article_id,round,visit_time,leave_time
b202400820061,155,4,2026-04-11 15:44:26.502000,2026-04-11 15:50:07.915000
b202400820061,99,6,2026-04-11 16:13:24.245000,2026-04-11 16:13:42.987000
b202400820061,100,7,2026-04-11 16:27:57.485000,2026-04-11 16:28:19.877000
b202400820061,5,7,2026-04-11 16:28:22.485000,2026-04-11 16:28:29.165000
b202437715,16,2,2026-04-11 15:05:45.213000,2026-04-11 15:05:51.144000
b202437715,175,4,2026-04-11 15:40:23.271000,2026-04-11 15:41:24.944000
b202437715,12,6,2026-04-11 16:07:21.965000,2026-04-11 16:07:40.304000
b202437715,14,7,2026-04-11 16:30:57.604000,2026-04-11 16:31:11.898000
b202500610001,78,2,2026-04-11 15:07:56.023000,2026-04-11 15:08:09.364000
b202500610001,78,3,2026-04-11 15:29:19.036000,2026-04-11 15:29:27.656000
b202500610001,80,3,2026-04-11 15:29:48.016000,2026-04-11 15:30:00.734000
b202500610001,95,4,2026-04-11 15:40:49.133000,2026-04-11 15:40:52.721000
b202500610001,175,4,2026-04-11 15:41:05.437000,2026-04-11 15:41:09.854000
b202500610001,36,4,2026-04-11 15:41:17.405000,2026-04-11 15:42:01.457000
b202500610001,177,4,2026-04-11 15:44:27.127000,2026-04-11 15:44:35.306000
b202500620060,175,9,2026-04-11 16:56:35.082000,2026-04-11 16:57:15.020000
b202500620132,4,2,2026-04-11 15:05:44.791000,2026-04-11 15:05:51.632000
b202500620184,15,2,2026-04-11 15:07:40.490000,2026-04-11 15:08:04.422000
b202500620184,15,3,2026-04-11 15:18:59.097000,2026-04-11 15:19:10.309000
b202500620184,154,3,2026-04-11 15:25:22.971000,2026-04-11 15:25:33.934000
b202500620184,160,3,2026-04-11 15:27:55.913000,2026-04-11 15:28:26.139000
b202500620184,8,4,2026-04-11 15:36:24.375000,2026-04-11 15:36:28.858000
b202500620184,175,4,2026-04-11 15:37:41.239000,2026-04-11 15:38:01.290000
b202500620184,157,4,2026-04-11 15:44:13.674000,2026-04-11 15:44:32.198000
b202500620184,179,4,2026-04-11 15:45:14.089000,2026-04-11 15:45:34.424000
b202500620184,83,5,2026-04-11 15:52:59.052000,2026-04-11 15:53:16.901000
b202500620184,90,6,2026-04-11 16:08:15.487000,2026-04-11 16:08:51.988000
b202500620184,38,6,2026-04-11 16:13:02.140000,2026-04-11 16:13:14.224000
b202500620184,36,6,2026-04-11 16:14:06.147000,2026-04-11 16:14:24.809000
b202500620184,22,6,2026-04-11 16:16:54.894000,2026-04-11 16:17:06.156000
b202500620184,177,7,2026-04-11 16:25:09.101000,2026-04-11 16:25:22.507000
b202500620184,181,7,2026-04-11 16:25:58.653000,2026-04-11 16:26:12.199000
b202500620184,1,7,2026-04-11 16:28:30.579000,2026-04-11 16:28:34.511000
b202500620184,158,7,2026-04-11 16:28:51.879000,2026-04-11 16:29:07.050000
b202500620184,158,7,2026-04-11 16:29:16.422000,2026-04-11 16:29:25.545000
b202500620184,157,7,2026-04-11 16:29:39.256000,2026-04-11 16:29:52.743000
b202500620184,8,7,2026-04-11 16:32:21.592000,2026-04-11 16:32:30.185000
b202500620184,1,9,2026-04-11 17:03:59.479000,2026-04-11 17:04:08.290000
b202500620241,1,3,2026-04-11 15:20:56.551000,2026-04-11 15:21:09.883000
b202500620241,25,3,2026-04-11 15:21:20.755000,2026-04-11 15:21:31.447000
b202500620241,5,3,2026-04-11 15:23:59.855000,2026-04-11 15:24:35.204000
b202500620241,12,3,2026-04-11 15:24:46.750000,2026-04-11 15:24:58.428000
b202500620241,12,3,2026-04-11 15:27:12.978000,2026-04-11 15:27:27.117000
b202500620241,1,4,2026-04-11 15:35:18.407000,2026-04-11 15:35:41.912000
b202500620241,31,4,2026-04-11 15:36:47.174000,2026-04-11 15:37:00.137000
