id,seller_username,category_id_seller,category_id_buyer,quantity,status,round,offline_round
1325,b202300630252,156d9f8c92634da8b29a0c98776fab1d,7df90917a84e4f75a3938e763473b51b,1,UNPUBLISHED,3,4
1326,b202400620304,d8bfa9a4482f496193d09fad4cb24d68,a47a2efe835b4ba58459b586fa524ddb,1,UNPUBLISHED,3,4
1327,b202100630041,91c3d8696493419ba323dba15b2aa87a,5b2947761da448fc9b6e3faa90f52c05,1,UNPUBLISHED,3,4
1328,a202500620164,1ffc58f1f3984560ba0ae50ea9dcbd5b,58e7ed760d904f34baa8d67a976ef87a,1,UNPUBLISHED,3,4
1329,b202500620270,845aa1cf19c94871bc199029287145fc,3b845362d693416f973d874a255461d1,1,UNPUBLISHED,3,4
1330,b202500620060,3af712eb2f244b3d830c7ec2d15449c2,a8d388ef1e85452d84befe86f16b4da9,1,UNPUBLISHED,3,4
1331,a202300630200,72a16613909b4133930c5fec68bc9272,cab1444447834e948257c880a8bfed06,1,UNPUBLISHED,3,3
1332,a202300630126,351f974fa68f4f6296d8ad870c29055c,e21fac1f2cfa4f0bb0c81efc88b4f588,1,UNPUBLISHED,3,4
1333,a202500800390,996c5c104c474bf792d472ebe96875c8,2ae64d7666b04f5091d2dfce6c447204,1,UNPUBLISHED,3,4
1334,a202500810212,5ef17d6c0b094957901affdbcbcb21c9,2170eb77855b4539b65d550eaa9b95e1,1,UNPUBLISHED,3,4
1335,b202400800323,a372c807a7bd4ee798c20c196e41affd,1b4f63d670924fc4bbd560f23fe12f3e,1,UNPUBLISHED,3,4
1336,a202400620247,b6169062dbfb4462a5d235dff0ca79bd,2e4dad389cad43a28e08335fb455477b,1,UNPUBLISHED,3,4
1337,b202500620241,be5d5cfe86dd4ebf828edaefdbfca9b5,6a017cdbb6e64edfbcf8415a6c3fa61a,1,UNPUBLISHED,3,4
1338,b202500620298,614d4be44a314c33b967291838d8cc00,7d74b6bebaad4317b09b049591ad9640,1,UNPUBLISHED,3,4
1339,b202500620270,0052b1b87b4a4d5fad725b9000a8c8a8,adec35c57f834bca8b45c483e099c58c,1,UNPUBLISHED,3,4
1340,b202537671,5840c13cb9094e5398853a543b96958b,e514d8a89d30477fbe95b64a17658572,1,UNPUBLISHED,3,5
1341,b202437715,e561dfb8b9e843eb9918671e91c7a05d,10ea717ff1c643c4b4fffde17cdd3a63,1,UNPUBLISHED,3,4
1342,a202400630023,ac49782c95a34779a4d1ded0952626d2,1b5d0e5a086a4bbbad7de7449478c7f2,1,UNPUBLISHED,3,4
1343,a202400620243,d40cbf9483924c83ae34997c7fe7eacc,5d91fa5dcd614aec8a37f68ce86477be,1,UNPUBLISHED,3,4
